restaurants,book_stores,florists,clothing_stores,beauty_salons,museums
,vaporizer store,,,,
,pet store,,,,
,bank,,,,
,audi dealer,,,,
,lingerie store,,,,
,scientific equipment supplier,,,,
,lawn mower store,,,,
,violin shop,,,,
,blinds shop,,,,
,jeep dealer,,,,
,video store,,,,
,women's health clinic,,,,
,men's clothing store,,,,
,musical instrument store,,,,
,entertainment agency,,,,
,1star hotel,,,,
,transmission shop,,,,
,irish goods store,,,,
,book publisher,,,,
,hobby store,,,,
,truck accessories store,,,,
,shipping and mailing service,,,,
,watch store,,,,
,movie rental store,,,,
,restaurant,,,,
,physical therapy clinic,,,,
,women's clothing store,,,,
,university,,,,
,wallpaper store,,,,
,furniture store,,,,
,architecture firm,,,,
,rv dealer,,,,
,dress store,,,,
,bead store,,,,
,craft store,,,,
,fireplace store,,,,
,kitchen supply store,,,,
,adult dvd store,,,,
,flower designer,,,,
,school,,,,
,selfstorage facility,,,,
,landscaper,,,,
,canoe & kayak store,,,,
,auto restoration service,,,,
,fireworks store,,,,
,wedding planner,,,,
,clothing store,,,,
,architectural salvage store,,,,
,funeral home,,,,
,electronics store,,,,
,church,,,,
,pottery store,,,,
,truck repair shop,,,,
,adult entertainment,,,,
,winery,,,,
,picture frame shop,,,,
,health food store,,,,
,office equipment supplier,,,,
,packaging company,,,,
,cocktail bar,,,,
,3star hotel,,,,
,hockey supply store,,,,
,day care center,,,,
,chevrolet dealer,,,,
,dvd store,,,,
,health and beauty shop,,,,
