name,address,type,place,description,website_url,menu_url,gift_card_website,contact_website,gift_card_txt,contact_txt,searched
West Angeles Christian Emporium,Los Angeles,Book store,los angeles,,,,,,,,0
Now Serving,Los Angeles,Book store,los angeles,,,,,,,,0
LACC Cub Store,Los Angeles,Book store,los angeles,,,,,,,,0
Brown Bag Books,Los Angeles,Book store,los angeles,,,,,,,,0
Libreria Y Variedades,,Book store,los angeles,,,,,,,,0
Go Calendars Toys & Games,Space R045Z by De Masque 925 A Blossom Hill Rd,Book store,los gatos,,,,,,,,0
Legends Comics & Games,2200 Eastridge Loop B1085,Game store,los gatos,,,,,,,,0
Edible Arrangements,15553 Union Ave B10,Gift shop,los gatos,,,,,,,,0
The Universal Connection Store,1261 Lincoln Ave,Book store,los gatos,,,,,,,,0
Kimonda Thomas Book Store,301 8th St,Book store,pacifica,,,,,,,,0
City Lights Booksellers & Publishers,261 Columbus Ave,Book store,pacifica,,,,,,,,0
Russian Hill Bookstore,2162 Polk St,Book store,pacifica,,,,,,,,0
Hella Novela,San Francisco,Comic book store,pacifica,,,,,,,,0
Quinones Fernando,San Francisco,Law book store,pacifica,,,,,,,,0
Assouline at SJAS,San Francisco,Book store,pacifica,,,,,,,,0
Mercenary General Store,Santa Monica,Gift shop,santa monica,,,,,,,,0
Record Surplus,Los Angeles,Record store,santa monica,,,,,,,,0
Mystery Pier,West Hollywood,Book store,santa monica,,,,,,,,0
Blick Art Materials,Santa Monica,Art supply store,santa monica,,,,,,,,0
isarose,Pacific Palisades,Book store,santa monica,,,,,,,,0
Late Sunday Afternoon,Venice,Book store,santa monica,,,,,,,,0
St Matthew's Thrift Shop,2812 Main St,Thrift store,santa monica,,,,,,,,0
Truetone Music,714 Santa Monica Blvd,Music store,santa monica,,,,,,,,0
The Salvation Army Family Store & Donation Center,1658 11th St,Thrift store,santa monica,,,,,,,,0
66ToCali,Colorado Ave,Gift shop,santa monica,,,,,,,,0
Amy's Hallmark Shop,532 Coddingtown Center,Greeting card shop,santa rosa,,,,,,,,0
St Stephen's Comm Book Store,5825 Imperial Ave,Book store,san diego,,,,,,,,0
Rockpile Christian Resource Center,2277 Rosecrans St,Book store,san diego,,,,,,,,0
Comickaze Comics Books and More I,5517 Clairemont Mesa Blvd suite a,Comic book store,san diego,,,,,,,,0
Miramar college bookstore,Student Services 10440 105 Black Mountain Rd Bldg K,Book store,san diego,,,,,,,,0
Taming Your Guts,3890 Nobel Dr,Book store,san diego,,,,,,,,0
Friends Of The San Diego Public Library,4193 Park Blvd,Used book store,san diego,,,,,,,,0
Bayview Christian Cultural,6134 Benson Ave,Book store,san diego,,,,,,,,0
Bay Books of Coronado,3225 N Harbor Dr,Book store,san diego,,,,,,,,0
Southern California Comics,8280 Clairemont Mesa Blvd  124,Comic book store,san diego,,,,,,,,0
Bountiful Books,5069 Catoctin Dr,Used book store,san diego,,,,,,,,0
MiraCosta College Bookstore  San Elijo Campus,3333 Manchester Ave,Book store,san diego,,,,,,,,0
D G Wills Books,7461 Girard Ave,Book store,san diego,,,,,,,,0
Captain Fitch's Mercantile,2627 San Diego Ave,Book store,san diego,,,,,,,,0
Seabreeze Nautical Books,1254 Scott St,Book store,san diego,,,,,,,,0
Goodwill Bookstore & Donation Center,13140 Poway Rd,Book store,san diego,,,,,,,,0
My American Job Book,1502 Sixth Ave,Book store,san diego,,,,,,,,0
Traveler's Depot,1655 Garnet Ave,Book store,san diego,,,,,,,,0
Scholastic Book Fairs,7825 Trade St,Book store,san diego,,,,,,,,0
Galactic Comics,4981 Newport Ave,Comic book store,san diego,,,,,,,,0
Friends Of The Mission HillsHillcrestKnox Library bookstore,215 W Washington St,Used book store,san diego,,,,,,,,0
Hudson News,3225 N Harbor Dr,Book store,san diego,,,,,,,,0
Christian Science Reading Room,522 C St,Book store,san diego,,,,,,,,0
Now Or Never Comics,1055 F St,Comic book store,san diego,,,,,,,,0
Compass Point Pubs,10771 Black Mountain Rd,Book store,san diego,,,,,,,,0
Tree of Life Metaphysical Books and Gifts,4870 Santa Monica Ave,Book store,san diego,,,,,,,,0
Kelly Blue Book Official Buying Center,1451 Camino del Rio S,Book store,san diego,,,,,,,,0
Paras News,San Diego,Magazine store,san diego,,,,,,,,0
Sam & Delilah,San Diego,Book store,san diego,,,,,,,,0
Alexandra Institute,San Diego,Book store,san diego,,,,,,,,0
Adult Emporium,San Diego,Book store,san diego,,,,,,,,0
Romantix,San Diego,Book store,san diego,,,,,,,,0
Just His Words Pocket Companion,San Diego,Book store,san diego,,,,,,,,0
Serenity Shop,San Diego,Book store,san diego,,,,,,,,0
Bauer Rare Books,La Jolla,Used book store,san diego,,,,,,,,0
United Nations International Gift Shop,San Diego,Book store,san diego,,,,,,,,0
Second Hand Prose,Coronado,Used book store,san diego,,,,,,,,0
Buddha For You Gifts & Books,San Diego,Book store,san diego,,,,,,,,0
Home Start Thrift Boutique,San Diego,Book store,san diego,,,,,,,,0
Kayo Books,814 Post St,Used book store,san francisco,,,,,,,,0
Chronicle Books,165 4th St,Book store,san francisco,,,,,,,,0
Omnivore Books,3885 Cesar Chavez,Book store,san francisco,,,,,,,,0
Dog Eared Books,489 Castro St,Book store,san francisco,,,,,,,,0
The Green Arcade,1680 Market St,Book store,san francisco,,,,,,,,0
Books Inc,2251 Chestnut St,Book store,san francisco,,,,,,,,0
Warming Hut Bookstore & Cafe,983 Marine Dr,Book store,san francisco,,,,,,,,0
SinoAmerican Books & Arts,751 Jackson St,Book store,san francisco,,,,,,,,0
Books Inc,office & warehouse 1501 Vermont St,Book store,san francisco,,,,,,,,0
Libreria Pino,548 Union St,Book store,san francisco,,,,,,,,0
Louie Brothers Book Store,754 Washington St,Book store,san francisco,,,,,,,,0
Eastwind Books & Arts,1435 Stockton St,Book store,san francisco,,,,,,,,0
San Fransisco Zen Book Store,300 Page St,Book store,san francisco,,,,,,,,0
Night Horn Books,423 Lyon St,Book store,san francisco,,,,,,,,0
Thomas A Goldwasser Rare Books,5 3rd St 530,Rare book store,san francisco,,,,,,,,0
Online Medical Book Store,,Book store,san francisco,,,,,,,,0
34 Trinity Arts & News,34 Trinity Pl,Used book store,san francisco,,,,,,,,0
871 Fine Arts,20 Hawthorne St,Book store,san francisco,,,,,,,,0
LawyersWriting,353 Sacramento St 1140,Book store,san francisco,,,,,,,,0
JLJ Corporation,3216 Geary Blvd,Used book store,san francisco,,,,,,,,0
John Windle Antiquarian Bookseller,49 Geary Boulevard 233,Rare book store,san francisco,,,,,,,,0
Wittenborn Art Books,1109 Geary Blvd,Used book store,san francisco,,,,,,,,0
Isotope Comics,326 Fell St,Comic book store,san francisco,,,,,,,,0
Meyer Boswell Books Inc,2141 Mission St  302,Used book store,san francisco,,,,,,,,0
Comix Experience Outpost,2381 Ocean Ave,Comic book store,san francisco,,,,,,,,0
The Bindery,1727 Haight St,Book store,san francisco,,,,,,,,0
Cards And Comics Central,San Francisco,Comic book store,san francisco,,,,,,,,0
Comix Experience,San Francisco,Comic book store,san francisco,,,,,,,,0
Magazine,San Francisco,Magazine store,san francisco,,,,,,,,0
KalosBooks,San Francisco,Book store,san francisco,,,,,,,,0
Amazing Fantasy,San Francisco,Comic book store,san francisco,,,,,,,,0
The Grand Newsstand,San Francisco,Book store,san francisco,,,,,,,,0
SFMOMA Museum Store,San Francisco,Book store,san francisco,,,,,,,,0
Books & Bookshelves,San Francisco,Book store,san francisco,,,,,,,,0
Ng Hing Kee Inc,San Francisco,Book store,san francisco,,,,,,,,0
de Young Museum Store,San Francisco,Book store,san francisco,,,,,,,,0
Needles & Pens,San Francisco,Book store,san francisco,,,,,,,,0
Academy Store,San Francisco,Book store,san francisco,,,,,,,,0
